track_id,vehicle_type,violation_type,frame,timestamp_sec
4,car,restricted_zone,1,0.04
10,car,restricted_zone,1,0.04
14,car,restricted_zone,3,0.12
10,car,wrong_way,5,0.2
14,car,wrong_way,7,0.28
60,car,restricted_zone,9,0.36
71,car,restricted_zone,12,0.48
72,car,restricted_zone,12,0.48
80,car,restricted_zone,14,0.56
116,car,restricted_zone,19,0.76
80,car,wrong_way,19,0.76
120,car,restricted_zone,20,0.8
72,car,wrong_way,24,0.96
146,car,restricted_zone,29,1.16
171,car,restricted_zone,35,1.4
193,car,restricted_zone,39,1.56
204,car,restricted_zone,42,1.68
193,car,wrong_way,43,1.72
213,car,wrong_way,54,2.16
224,car,restricted_zone,62,2.48
248,car,restricted_zone,68,2.72
248,car,wrong_way,72,2.88
266,car,restricted_zone,76,3.04
294,car,wrong_way,89,3.56
317,car,restricted_zone,95,3.8
294,car,restricted_zone,105,4.2
338,car,wrong_way,108,4.32
371,car,wrong_way,119,4.76
338,car,restricted_zone,124,4.96
