track_id,vehicle_type,violation_type,frame,timestamp_sec
7,truck,restricted_zone,1,0.02
2,car,wrong_way,5,0.08
3,car,wrong_way,5,0.08
8,car,restricted_zone,6,0.1
1,car,wrong_way,8,0.13
6,car,wrong_way,9,0.15
6,car,restricted_zone,13,0.22
11,truck,restricted_zone,18,0.3
12,truck,restricted_zone,30,0.5
4,car,wrong_way,39,0.65
13,truck,restricted_zone,42,0.7
14,car,restricted_zone,44,0.73
7,truck,wrong_way,46,0.77
15,truck,restricted_zone,54,0.9
16,car,restricted_zone,58,0.97
17,car,restricted_zone,70,1.17
18,truck,restricted_zone,74,1.23
19,truck,wrong_way,79,1.32
23,truck,restricted_zone,104,1.73
23,truck,wrong_way,108,1.8
24,truck,restricted_zone,110,1.83
26,truck,wrong_way,134,2.23
28,car,restricted_zone,134,2.23
27,car,wrong_way,138,2.3
28,car,wrong_way,138,2.3
31,car,restricted_zone,150,2.5
36,truck,restricted_zone,174,2.9
38,truck,restricted_zone,180,3.0
40,truck,restricted_zone,188,3.13
37,bus,wrong_way,214,3.57
57,truck,wrong_way,248,4.13
60,truck,wrong_way,270,4.5
65,car,restricted_zone,298,4.97
64,car,wrong_way,302,5.03
67,truck,wrong_way,314,5.23
70,car,wrong_way,346,5.77
79,truck,wrong_way,394,6.57
83,truck,wrong_way,411,6.85
86,truck,wrong_way,418,6.97
2,car,restricted_zone,421,7.02
1,car,restricted_zone,425,7.08
82,truck,wrong_way,448,7.47
88,truck,wrong_way,457,7.62
91,car,wrong_way,482,8.03
92,car,wrong_way,508,8.47
95,truck,wrong_way,525,8.75
101,truck,restricted_zone,618,10.3
102,truck,restricted_zone,626,10.43
103,car,wrong_way,634,10.57
105,car,wrong_way,646,10.77
108,car,wrong_way,655,10.92
104,bus,wrong_way,673,11.22
114,truck,wrong_way,713,11.88
118,car,wrong_way,737,12.28
126,car,wrong_way,776,12.93
128,bus,wrong_way,777,12.95
130,car,wrong_way,788,13.13
133,car,wrong_way,805,13.42
136,car,wrong_way,810,13.5
140,car,wrong_way,851,14.18
143,car,wrong_way,890,14.83
146,bus,wrong_way,915,15.25
27,car,restricted_zone,925,15.42
148,truck,wrong_way,944,15.73
157,truck,restricted_zone,958,15.97
155,truck,wrong_way,960,16.0
157,truck,wrong_way,966,16.1
163,truck,restricted_zone,971,16.18
166,car,wrong_way,996,16.6
167,car,wrong_way,1002,16.7
169,car,restricted_zone,1006,16.77
169,car,wrong_way,1012,16.87
179,car,restricted_zone,1038,17.3
91,car,restricted_zone,1053,17.55
182,truck,wrong_way,1060,17.67
162,car,wrong_way,1070,17.83
184,car,restricted_zone,1098,18.3
184,car,wrong_way,1102,18.37
187,car,wrong_way,1118,18.63
198,truck,wrong_way,1212,20.2
216,truck,restricted_zone,1240,20.67
