epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7755,0.9989,3.33864,1.22717,0.01899,0.45452,0.2321,0.18372,0.74836,3.61146,0.99173,0.000381944,0.000381944,0.000381944
2,54.6498,0.94665,2.27933,1.14217,0.96158,0.06028,0.20153,0.11607,0.87178,3.4008,1.09483,0.000600955,0.000600955,0.000600955
3,92.5646,0.95316,1.70409,1.17558,0.9531,0.09436,0.57803,0.42202,0.83831,3.02599,1.01179,0.000613715,0.000613715,0.000613715
4,128.383,0.95465,1.54196,1.1637,0.97235,0.17488,0.68164,0.51262,0.85574,2.78426,1.0222,0.000321875,0.000321875,0.000321875
