epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4384,0.9989,3.33864,1.22717,0.01899,0.45452,0.2321,0.18372,0.74836,3.61146,0.99173,0.000381944,0.000381944,0.000381944
2,70.9084,0.9649,2.19563,1.15266,0.93571,0.02174,0.18551,0.0945,1.02171,3.36473,1.2148,0.000772257,0.000772257,0.000772257
3,106.427,1.0461,1.76587,1.21647,0.84544,0.21739,0.56547,0.36833,1.03533,2.75617,1.25515,0.00113507,0.00113507,0.00113507
4,144.037,1.05365,1.63613,1.21614,0.81236,0.21739,0.59008,0.40025,1.08601,2.73355,1.24498,0.00112625,0.00112625,0.00112625
5,184.229,0.94224,1.40655,1.11959,0.69413,0.42519,0.76761,0.49701,1.14714,4.18254,1.36135,0.001085,0.001085,0.001085
6,224.835,0.94586,1.35251,1.12603,0.69878,0.65371,0.84949,0.61798,0.94574,2.23032,1.10174,0.00104375,0.00104375,0.00104375
7,263.179,0.90581,1.26109,1.10237,0.64335,0.65865,0.88166,0.66582,0.88282,1.94245,1.08449,0.0010025,0.0010025,0.0010025
8,300.766,0.86197,1.18427,1.09052,0.70887,0.67385,0.88551,0.68942,0.85646,2.0904,1.06728,0.00096125,0.00096125,0.00096125
