,accuracy,precision,recall,f1
Logistic Regression,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612
Decision Tree,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612
